where is the option for edit a tweet????????	__FROM__ 	Twitter	information seeking
I love Twitter but , why the notification didint come out on my notification tab ?	__FROM__	Twitter	information seeking
You will have to delete the whole post which is really annoying and i am not sure as to why are not they including this feature through their updates .	__FROM__	Instagram	information seeking
Explain to me what is the point of that anyway ?	__FROM__	Uber	information seeking
yo , what the hell is up with this new update talk , I guess android does not have it yet , how about we keep it that way .	__FROM__	Instagram	information seeking
Very good application , WHY was it taken off my iPod , iPhone	__FROM__	Gmail	information seeking
why is it so heavy but can not be moved to sd card ?	__FROM__	Uber	information seeking
why can not i add location ?	__FROM__	Instagram	information seeking
Does people in google know how to make users life easy ?	__FROM__	Chrome	information seeking
"Maybe include a dislike button or a ""not relevant"" option like you have on ads?"	__FROM__ 	Instagram	information seeking
what is going on ?	__FROM__	Instagram	information seeking
What exactly is the use of pre booking an Uber if it can not arrive on time at the location to pick us up .	__FROM__	Uber	information seeking
I really can not understand why ?	__FROM__	Uber	information seeking
When will the upi payment feature available for all the users ?	__FROM__	Uber	information seeking
Please how to fix it ?	__FROM__	Instagram	information seeking
Why can't i share stories of various pages to others??	__FROM__ 	Instagram	information seeking
why you do not make chat heads just like messenger ?	__FROM__	Instagram	information seeking
"Maybe include a dislike button or a ""  not relevant ""  option like you have on ads ?"	__FROM__	Instagram	information seeking
what , do you have to read a freaking book ?	__FROM__	Instagram	information seeking
does this application have payment and timeline ?	__FROM__	Uber	information seeking
why is everything that i type in Chinese ?	__FROM__	Chrome	information seeking
the design was perfect , why change it ?	__FROM__	Chrome	information seeking
How do I go around it and post ?	__FROM__	Instagram	information seeking
Why on earth would you do that .	__FROM__	Uber	information seeking
What possible reason is there for not allowing it ?	__FROM__	Chrome	information seeking
What 's wrong with the app notifications tab ?	__FROM__	Twitter	information seeking
"why my IG account does not have the ""  Copy Link ""  option ?"	__FROM__	Instagram	information seeking
"twitter is nice and everything but i keep getting locked out of my account for ""  suspicious behavior ""  when i like tweets and i think its when i am awake late ?"	__FROM__	Twitter	information seeking
Can you please just put things back in chronological order ?	__FROM__	Instagram	information seeking
why your drivers mostly canceled the trip	__FROM__	Uber	information seeking
why cant i zoom into videos on my note 9?	__FROM__ 	Instagram	information seeking
Why my instagram doesn't have poll sticker, question sticker and music search?	__FROM__ 	Instagram	information seeking
why I did not see option 'add this to your story ' when someone mentioned me in their story .	__FROM__	Instagram	information seeking
i find version 7.5 best.. did you had a 5 year old to program your app ?	__FROM__	Twitter	information seeking
still learning, how do I make or get free calls	__FROM__ 	Chrome	information seeking
Did people really request this feature to be taken away ?	__FROM__	Instagram	information seeking
its a good application but for me why its not giving me the option to share posts to my story ???	__FROM__	Instagram	information seeking
music is not available ?	__FROM__	Instagram	information seeking
Blind persons ?	__FROM__	Chrome	information seeking
When it is coming in PATNA ?	__FROM__	Uber	information seeking
I do not know if it is an update but now when I write the address I am at to be picked up , the application will then change the pick up location to whatever area it chooses .	__FROM__	Uber	information seeking
why can not I delete my searches manually now ?	__FROM__	Chrome	information seeking
how i can remove this application	__FROM__	Chrome	information seeking
WHY CAN'T YOU MAKE IT SIMPLE ?	__FROM__	Gmail	information seeking
Why does it make sense to lock the old accounts and make it 10x harder to try to get your account back ?	__FROM__	Twitter	information seeking
How do you unblock your emails after 30 days	__FROM__	Gmail	information seeking
Is any of this getting fixed or what ?	__FROM__	Instagram	information seeking
why I can not repost my friends stories even they are already mention my username on their story ?	__FROM__	Instagram	information seeking
Why are we seeing tweets in media section when seeing profile ?	__FROM__	Twitter	information seeking
Why is my instagram keep force stopping	__FROM__	Instagram	information seeking
What the heck is going on , so frustrated am thinking of returning this tablet to Samsung for allowing this to happen .	__FROM__	Chrome	information seeking
Why do you keep asking to record video and audio if you are only letting me choose present photo saved in my phone already instead of letting me do live video and audio it will not ? !	__FROM__	Instagram	information seeking
Can you correct this please !	__FROM__	Instagram	information seeking
But what about if someone is in an urgent need of a cab at night time ?	__FROM__	Uber	information seeking
Just can login one account ... Another account can log in.Why ?	__FROM__	Instagram	information seeking
i did get ques poll and many more things in my insta account why?	__FROM__ 	Instagram	information seeking
Why are you doing such kind of things with users ?	__FROM__	Uber	information seeking
wait why i can not post something else ?	__FROM__	Instagram	information seeking
There are blocking and mute features , why is it THEY NEVER EVER ACTUALLY WORK OR FUNCTION IN ANY WAY SHAPE OR FORM ?	__FROM__	Gmail	information seeking
Google wants to develop self driving cars and they can't fix this??	__FROM__ 	Gmail	information seeking
What about adding a night mode theme like that in Twitter and YouTube ?	__FROM__	Instagram	information seeking
Google wants to develop self driving cars and they can't fix this??	__FROM__ 	Gmail	information seeking
Why should I pay charges ?	__FROM__	Uber	information seeking
when will android be able to add music to their stories with man	__FROM__	Instagram	information seeking
why its hard for me to view the video ?	__FROM__	Twitter	information seeking
what is the solution of this problem ?	__FROM__	Instagram	information seeking
Can I marry an app ?	__FROM__	Chrome	information seeking
Is there any secret setting.. ?	__FROM__	Chrome	information seeking
Why is this happening ?	__FROM__	Twitter	information seeking
Why can't I screenshot in incognito mode and the biased results are painfully obvious	__FROM__ 	Chrome	information seeking
Why is my Samsung galaxy j4 2018 phone restarting everytime i open Instagram ?	__FROM__	Instagram	information seeking
