Its Too bad , please stop the notifications from the crome its irritating	__FROM__ 	Chrome	feature request
Can I have an option to move this application to my SD card for storage management ?	__FROM__	Chrome	feature request
Please try to remove them.Beacuse they can hack our password and private information .	__FROM__	Chrome	feature request
It 's excellent , but please ADD AN ADBLOCKER in the app .	__FROM__	Chrome	feature request
But it will be great if can add night mode too	__FROM__	Chrome	feature request
decent please add night or dark mode	__FROM__	Chrome	feature request
Can u reduce the app size???	__FROM__ 	Chrome	feature request
An option to have a tool bar down the bottom would be great and better ad blocking	__FROM__	Chrome	feature request
We need a plate form for chrom users please	__FROM__	Chrome	feature request
I wish Google would listen and bring their browser to this century .	__FROM__	Chrome	feature request
Original : I love the ability to see the tabs on my computer	__FROM__	Chrome	feature request
no option for settings	__FROM__	Chrome	feature request
add dark mode or theme to make it more comfortable for eyes .	__FROM__	Chrome	feature request
too good , but should avoid showing ours or users location or details of searching to others , as they are disturbing our privacy .	__FROM__	Chrome	feature request
need extension support like yandex browser and samsung browser .and will be the best browser	__FROM__	Chrome	feature request
it need a dark theme in my mind	__FROM__	Chrome	feature request
There should be option to save web pages as pdf or html .	__FROM__	Chrome	feature request
let me know his love life relatioxnships	__FROM__	Chrome	feature request
The change to a tab list instead of the tab windows is disgusting .	__FROM__	Chrome	feature request
If you have to ask for feedback or recommend a suggestion on something the majority do not want , and ignore the features you have wanted , you relise this product is not for you .	__FROM__	Chrome	feature request
I wish that they should remove the auto refresh every time I revisit the tab after few minutes ... it is really annoying	__FROM__	Chrome	feature request
I want you to update chrome with pause and resume feature like the desktop version .	__FROM__	Chrome	feature request
please use multithread connection method to download files as used by other apps and browsers .	__FROM__	Chrome	feature request
Let other devices keep connecting to my phone and data other then AprilAngel3361 as thats my email make sure the A is capital .	__FROM__	Chrome	feature request
Go back to the old color theme and also add a dark mode	__FROM__	Chrome	feature request
Can google can add functiom : fullscreen for google chrome ?	__FROM__	Chrome	feature request
xffgyui xffgyui Yes you wanting me to ask if you can get the other two options are delightful either way you wanti	__FROM__	Chrome	feature request
TOO MUCH ADDS PLS LOOK IN THIS MATTER HOPE U WILL TAKE CARE ... .	__FROM__	Chrome	feature request
All good but need dark mode pretty please	__FROM__	Chrome	feature request
I am having an issue with the newer versions of chrome where when going into full screen on a video , the navigation bar does not hide like it is supposed to .	__FROM__	Chrome	feature request
Add an Anti-Blue light mode .	__FROM__	Chrome	feature request
please can you hide my phone number on here to noone cant see i want a privece please	__FROM__ 	Chrome	feature request
I do wish, however, that there weren't so many ads when trying to read an article.	__FROM__ 	Chrome	feature request
A master password for logins will be a great feature.	__FROM__ 	Chrome	feature request
plz give the dark theme option next update	__FROM__ 	Chrome	feature request
This browser would be much better if users could customize the look of it, change the color scheme and the way tabs are viewed.	__FROM__ 	Chrome	feature request
please add translate option for webpages	__FROM__ 	Chrome	feature request
I want it to stay on screen all the time.	__FROM__ 	Chrome	feature request
Please remove this add	__FROM__ 	Chrome	feature request
Missing very basic Select All feature .	__FROM__	Gmail	feature request
Give us some themes and let us customize the look like we can on the desktop .	__FROM__	Gmail	feature request
The application needs a delete all button !	__FROM__	Gmail	feature request
"I have changed my rating to 4 stars because you have acted on my suggestions to allow attaching of files directly from the Device without having to save to Drive , as well as allowing me to filter Inbox to show ""  Unread Mail ""  separately ."	__FROM__	Gmail	feature request
Since Inbox is being discontinued , it would be nice to see features from inbox included in Gmail .	__FROM__	Gmail	feature request
There should be HTML option in email signature .	__FROM__	Gmail	feature request
Please give mail track option ( to knock my mail is opened ) without using third party apps I believe in Gmail security thats why you have to give the option .	__FROM__	Gmail	feature request
there needs to be a mass email delete option .	__FROM__	Gmail	feature request
Can you make it possible to login with qr code access	__FROM__	Gmail	feature request
option search to be include like desktop .	__FROM__	Gmail	feature request
"Very nice application But need to add ""  select all ""  feature"	__FROM__	Gmail	feature request
if possible try it as we can easily access the whatsapp pc using qr code can you do something like that with gmail so that we go over google home page and press qr code access then we scan it and our gmail got log in into it and we got notification on mobile device .	__FROM__	Gmail	feature request
Meanwhile , need the function for bulk selection	__FROM__	Gmail	feature request
nice but notification should be less	__FROM__	Gmail	feature request
please change the ui .	__FROM__	Gmail	feature request
i want to havw my puah sync on every 4 hours .	__FROM__	Gmail	feature request
Please add an option which enables reverse scrolling , i.e .	__FROM__	Gmail	feature request
Black theme needed .	__FROM__	Gmail	feature request
JUST GIVE US INBOX IT 'S SO MUCH BETTER !	__FROM__	Gmail	feature request
