The comments on this website.	__FROM__ 	Chrome	information giving
Adchoice popped up every few mins and drove me crazy.	__FROM__ 	Chrome	information giving
stop providing me avengers fan theories	__FROM__ 	Chrome	information giving
awesome search material.	__FROM__ 	Chrome	information giving
Has very few options to control what websites are able to do and no option to block websites unless they give you permission.	__FROM__ 	Chrome	information giving
useless notifications is popping up.	__FROM__ 	Chrome	information giving
it was so helpfully it make me to know all information about me these also make to be social	__FROM__ 	Chrome	information giving
I usually love all that is Google and have used Chrome browser since it came out but I'm done.	__FROM__ 	Chrome	information giving
hel this app help me navigate through all the hard things that I wouldn't have been able to get through without him much quicker	__FROM__ 	Chrome	information giving
good so far no problem to report im happy whit	__FROM__ 	Chrome	information giving
i do all my work at google chrome	__FROM__ 	Chrome	information giving
this app sucks you open it and it staying on Facebook I've contacted Google and if I open a web page im told my browser isn't updated im going to drop Google as my web browser and go Yahoo at least they offer a better web page	__FROM__ 	Chrome	information giving
It's the only browser i have so I'm only using it sometimes its annoying and doesn't open some sites but else from that it's good	__FROM__ 	Chrome	information giving
Best in use both in access and speed.	__FROM__ 	Chrome	information giving
not sure because i dont use it someone does that is using my phone# says no acct	__FROM__ 	Chrome	information giving
I have been using it for almost 5 years and I have never come up with a problem Thanks surgay... .😊😊😊😊😊.	__FROM__ 	Chrome	information giving
keeps loggin me out of FB 😤	__FROM__ 	Chrome	information giving
I have benn using chrome since 2 years but now it has lots of adds which hangs my phone without any permission it says congratulation you has won something something ..........	__FROM__ 	Chrome	information giving
Its a best platform to search anything on Google	__FROM__ 	Chrome	information giving
Not a good long term business plan Google, there'll be no Google on a dead planet.	__FROM__ 	Chrome	information giving
now im stuck in area with no cell servive and public wifi options to just stare at me while im supposed to be on a business call while out of town.	__FROM__ 	Chrome	information giving
I also took Chrome browser off my computer because I'm so fed up with what Adchoice did to my phone.	__FROM__ 	Chrome	information giving
I hope I'm not being taken or deceived for having trust in such an app that has always been true to me.	__FROM__ 	Chrome	information giving
I have been using this apps since a decade back n I feel this is the best way of browsing	__FROM__ 	Chrome	information giving
need to minimize the malwares trying to attack when using Chrome	__FROM__ 	Chrome	information giving
Before the update the tabs were working good....	__FROM__ 	Chrome	information giving
Chrome is reliable, the level it's at is impeccable and I'm content that there's something like it.	__FROM__ 	Chrome	information giving
This is due to the forced hardware acceleration Chrome does.	__FROM__ 	Chrome	information giving
solve this or will uninstall this app	__FROM__ 	Chrome	information giving
new update no good for samsung tablet	__FROM__ 	Chrome	information giving
I switched to Microsoft edge because Adchoice took over my phone while using Chrome.	__FROM__ 	Chrome	information giving
google is the best social media and search the result	__FROM__ 	Chrome	information giving
It's Great But It Lacks Something I'm Not Sure Of	__FROM__ 	Chrome	information giving
nice and easy but too many adds..	__FROM__ 	Chrome	information giving
chrome working fast & secure it ture.	__FROM__ 	Chrome	information giving
Every time I go to a new page I have to zoom in.	__FROM__ 	Chrome	information giving
I just like the site	__FROM__ 	Chrome	information giving
They can be dragged and things were simple...	__FROM__ 	Chrome	information giving
Suggested stories keeps promoting climate science denial sites.	__FROM__ 	Chrome	information giving
when are you going to put a select all option so we can delete all messages instead of picking each message to delete this app sucks becaue of that	__FROM__ 	Gmail	information giving
It is greatly helpful to hide info	__FROM__ 	Gmail	information giving
Notifications are pushed late even with instant push setting on, sometimes I get the notification after 20 mins.. Bad.	__FROM__ 	Gmail	information giving
I need to check the app periodically to see if I have a new email.	__FROM__ 	Gmail	information giving
It's alright better then a lot other emails.	__FROM__ 	Gmail	information giving
now glad to be back and see all inbox awesomeness is already integrated.	__FROM__ 	Gmail	information giving
Its helps me to read my mails & Its good.	__FROM__ 	Gmail	information giving
I like Gmail is it is reliable email solution and a great price	__FROM__ 	Gmail	information giving
Promotional emails are going to inbox and important emails are going to promotional	__FROM__ 	Gmail	information giving
Having super hard time w unwanted mail	__FROM__ 	Gmail	information giving
will not sync folders cannot receive mail can not fix.	__FROM__ 	Gmail	information giving
It puts the emails out of order.	__FROM__ 	Gmail	information giving
Best app for getting messages	__FROM__ 	Gmail	information giving
Althouth, this app looks good at first i had many cases where people, or from work sent me e-mails and i dident receive them.	__FROM__ 	Gmail	information giving
If you would add the ability to bundle incoming emails I would give it another try.	__FROM__ 	Gmail	information giving
an upgrade is needed, most especially on accessing settings for the e-mail	__FROM__ 	Gmail	information giving
this gmail keeps saying correct credentials	__FROM__ 	Gmail	information giving
expect it will be has functions of inbox.	__FROM__ 	Gmail	information giving
If the attachment is an image it does get forwarded.	__FROM__ 	Gmail	information giving
If I use Google Inbox client everything works just fine.	__FROM__ 	Gmail	information giving
there is no way to not get unwanted mail.every day i have to delete 99+in my inbox.	__FROM__ 	Gmail	information giving
No night mode.	__FROM__ 	Gmail	information giving
Most videos are cut off on the sides by the format.	__FROM__ 	Instagram	information giving
Anytime I go to leave a comment I have to type it blind everytime.	__FROM__ 	Instagram	information giving
Also it is really bad at picking videos for me.	__FROM__ 	Instagram	information giving
Quite a good App, it helps me share information and happiness with different people around the world.	__FROM__ 	Instagram	information giving
I hate the algorithms as I'm not seeing things until a week later in most cases.	__FROM__ 	Instagram	information giving
plus ig doesnt remove music in video even its copyright.	__FROM__ 	Instagram	information giving
I am truly love this app it's a awesome and is a biggest great app within Facebook	__FROM__ 	Instagram	information giving
music sticker randomly disappeared, ads started invading everything, it's just getting worst as time passes	__FROM__ 	Instagram	information giving
Enjoyed the options and many ways to edit.	__FROM__ 	Instagram	information giving
I reported so many time spammer's account and who wrote bad words , but they responded it's not harmful and f word..	__FROM__ 	Instagram	information giving
search>open any video> video plays > audio plays in the background> play tye next video> audios of both the video overlaps.	__FROM__ 	Instagram	information giving
Adds a charm, life and fun to your photos.	__FROM__ 	Instagram	information giving
It keeps lowering the quality of the videos and the stories ( it had never done this before).	__FROM__ 	Instagram	information giving
More than 10 photos can't be uploaded..Facebook is Better than Instagram	__FROM__ 	Instagram	information giving
It keeps me up on family with different things that they dont share on Facebook	__FROM__ 	Instagram	information giving
After the new update, the photos just kinda something else other than the one the user posted.	__FROM__ 	Instagram	information giving
very easy to use and connect people	__FROM__ 	Instagram	information giving
A lot of fun and easy to use !	__FROM__ 	Instagram	information giving
it's fun to see the post from people you care about.	__FROM__ 	Instagram	information giving
it's really good.......even i can't express the feelings...it has everything in it.....	__FROM__ 	Instagram	information giving
My account name is- aadipto_12	__FROM__ 	Instagram	information giving
love it its amazing so much fun i can also buy thing like slime factory gives us slime etc	__FROM__ 	Instagram	information giving
